image_id,p_x,p_rot
calib_00000,0.11500588,0.88499415
calib_00001,0.056982994,0.943017
calib_00002,0.07043542,0.92956454
calib_00003,0.28771454,0.71228546
calib_00004,0.84804255,0.1519574
calib_00005,0.6074974,0.39250264
calib_00006,0.16825587,0.83174413
calib_00007,0.9189847,0.08101531
calib_00008,0.9367674,0.063232556
calib_00009,0.50857717,0.49142286
calib_00010,0.64150286,0.35849714
calib_00011,0.7006004,0.2993996
calib_00012,0.27037096,0.72962904
calib_00013,0.9931044,0.006895533
calib_00014,0.59435135,0.40564865
calib_00015,0.954039,0.04596099
calib_00016,0.013534071,0.9864659
calib_00017,0.45696115,0.54303885
calib_00018,0.004781063,0.99521893
calib_00019,0.9341269,0.06587312
calib_00020,0.3366036,0.6633963
calib_00021,0.7371087,0.2628913
calib_00022,0.67929804,0.32070196
calib_00023,0.97483563,0.025164383
calib_00024,0.74095017,0.25904983
calib_00025,0.103511386,0.8964886
calib_00026,0.9895056,0.010494369
calib_00027,0.50747573,0.49252424
calib_00028,0.17058507,0.8294149
calib_00029,0.3151733,0.68482673
calib_00030,0.16060306,0.8393969
calib_00031,0.14342542,0.8565746
calib_00032,0.9981158,0.0018842205
calib_00033,0.3164135,0.6835865
calib_00034,0.76238185,0.23761813
calib_00035,0.85767686,0.14232317
calib_00036,0.4756364,0.5243636
calib_00037,0.34288776,0.65711224
calib_00038,0.9993253,0.00067470886
calib_00039,0.76462966,0.23537035
calib_00040,0.14482093,0.8551791
calib_00041,0.8295208,0.17047916
calib_00042,0.5303137,0.46968627
calib_00043,0.9931236,0.0068763713
calib_00044,0.44728452,0.5527155
calib_00045,0.2654301,0.73456985
calib_00046,0.47632563,0.52367437
calib_00047,0.34252292,0.6574771
calib_00048,0.8334149,0.16658509
calib_00049,0.8509456,0.14905445
calib_00050,0.03487891,0.96512115
calib_00051,0.6095217,0.3904783
calib_00052,0.17700915,0.82299083
calib_00053,2.2594819e-05,0.99997735
calib_00054,0.28550512,0.7144949
calib_00055,0.75822985,0.24177009
calib_00056,0.501875,0.49812505
calib_00057,0.9818258,0.018174175
calib_00058,0.20308675,0.7969132
calib_00059,0.008881298,0.9911187
calib_00060,0.37282133,0.6271786
calib_00061,0.00038833608,0.9996117
calib_00062,0.02435566,0.9756444
calib_00063,0.1370911,0.86290884
calib_00064,0.41284662,0.5871534
calib_00065,0.8844991,0.11550092
calib_00066,0.94674975,0.0532503
calib_00067,0.7088804,0.29111958
calib_00068,0.7199473,0.28005275
calib_00069,0.064777404,0.93522257
calib_00070,0.042819127,0.9571809
calib_00071,0.7467414,0.25325856
calib_00072,0.010377482,0.9896226
calib_00073,0.08267004,0.9173299
calib_00074,0.18750001,0.81249994
calib_00075,0.17217518,0.82782483
calib_00076,0.31234658,0.68765336
calib_00077,0.10353742,0.89646256
calib_00078,0.96293306,0.03706689
calib_00079,0.6108792,0.38912085
calib_00080,0.20825814,0.79174185
calib_00081,0.9931117,0.0068883286
calib_00082,0.725177,0.27482304
calib_00083,0.97892433,0.021075694
calib_00084,0.43107116,0.56892884
calib_00085,0.48591605,0.5140839
calib_00086,0.22044733,0.77955264
calib_00087,0.4368596,0.56314033
calib_00088,0.41012436,0.5898757
calib_00089,0.9719053,0.028094642
calib_00090,0.84715563,0.15284438
calib_00091,0.2657831,0.7342169
calib_00092,0.5557883,0.44421172
calib_00093,0.3056603,0.6943397
calib_00094,0.7648784,0.2351216
calib_00095,0.8908966,0.109103344
calib_00096,0.8686283,0.13137165
calib_00097,0.7143883,0.28561172
calib_00098,0.22173053,0.7782694
calib_00099,0.20065041,0.7993496
calib_00100,0.5113074,0.48869255
calib_00101,0.7339464,0.2660536
calib_00102,0.5330622,0.46693778
calib_00103,0.025273744,0.97472626
calib_00104,0.5468504,0.45314962
calib_00105,0.116147384,0.8838526
calib_00106,0.80736923,0.19263075
calib_00107,0.026496315,0.97350365
calib_00108,0.9138817,0.08611827
calib_00109,0.59849894,0.40150106
calib_00110,0.38802633,0.61197364
calib_00111,0.3512661,0.6487339
calib_00112,0.98665094,0.013349004
calib_00113,0.0032459544,0.996754
calib_00114,0.18048805,0.81951195
calib_00115,0.004231455,0.99576855
calib_00116,0.82963336,0.1703666
calib_00117,0.2466457,0.75335425
calib_00118,0.7285521,0.27144787
calib_00119,0.80359936,0.19640066
calib_00120,0.9188645,0.08113553
calib_00121,0.42145032,0.5785497
calib_00122,0.5758005,0.4241995
calib_00123,0.024227655,0.97577226
