image_id,s_x,s_rot,len_x,len_rot,text_x,text_rot
calib_00000,0.3845709264278412,0.387046217918396,4,1,Ute.,0
calib_00001,0.7233467102050781,0.6605933308601379,1,1,P,d
calib_00002,0.20523914694786072,0.0,1,0,T,
calib_00003,0.8171524405479431,0.0,7,0,SAERBET,
calib_00004,0.5147602558135986,0.25458794832229614,1,3,A,Srl
calib_00005,0.3291189968585968,0.7152963280677795,1,3,A,4AN
calib_00006,0.6918012499809265,0.36909982562065125,5,1,Dutig,0
calib_00007,0.0,0.0,0,0,,
calib_00008,0.5336017608642578,0.8405001759529114,5,6,OOCUW,49.200
calib_00009,0.0,0.0,0,0,,
calib_00010,0.4065173864364624,0.24126863479614258,4,3,Yate,DoU
calib_00011,0.521513044834137,0.7552835941314697,3,5,(SI,1515)
calib_00012,0.48902398347854614,0.7366319894790649,2,2,73,F4
calib_00013,0.9962338209152222,0.8971104621887207,2,2,98,B6
calib_00014,0.16214895248413086,0.7465663552284241,1,1,D,4
calib_00015,0.0,0.9678741097450256,0,4,,etc.
calib_00016,0.6181075572967529,0.34171873331069946,8,5,Komiooos,10000
calib_00017,0.5201594829559326,0.3294660747051239,4,4,YADH,NCAN
calib_00018,0.9994017481803894,0.41216614842414856,10,2,Supplement,ca
calib_00019,0.7466259598731995,0.8324446678161621,8,9,01-0-601,Tag-a-Tot
calib_00020,0.9700347781181335,0.859043300151825,3,3,Guy,Ang
calib_00021,0.4329158663749695,0.5311814546585083,4,4,dnhe,Pyuo
calib_00022,0.25399529933929443,0.39463871717453003,2,2,AC,DB
calib_00023,0.4216820001602173,0.9596257209777832,3,6,SIL,GRATIS
calib_00024,0.0,0.0,0,0,,
calib_00025,0.4581145942211151,0.3971833884716034,3,5,UVr,egtin
calib_00026,0.36472663283348083,0.83453768491745,1,5,o,Comps
calib_00027,0.37066054344177246,0.5262934565544128,3,4,S06,2495
calib_00028,0.43183884024620056,0.8161407113075256,7,8,aunoaIN,Nicotine
calib_00029,0.5731880068778992,0.5208536982536316,4,2,2aia,22
calib_00030,0.46808671951293945,0.22278274595737457,3,1,Pun,A
calib_00031,0.5536739826202393,0.3199011981487274,8,4,farnlavd,pwen
calib_00032,0.4500391185283661,0.40873682498931885,4,4,RONE,FNON
calib_00033,0.25509196519851685,0.5909735560417175,1,1,2,2
calib_00034,0.7949146032333374,0.0,5,0,Sulla,
calib_00035,0.0,0.19241181015968323,0,2,,21
calib_00036,0.5288082957267761,0.42745649814605713,3,1,gre,D
calib_00037,0.16446170210838318,0.0,1,0,6,
calib_00038,0.0,0.9489220380783081,0,5,,1/3.4
calib_00039,0.11002101004123688,0.09554444998502731,1,1,0,W
calib_00040,0.4824492037296295,0.9123327136039734,6,5,CNIVMY,AWARD
calib_00041,0.0,0.42013055086135864,0,5,,ph lr
calib_00042,0.28611549735069275,0.8734128475189209,1,1,9,4
calib_00043,0.1990087628364563,0.4056919515132904,2,3,M7,utn
calib_00044,0.0,0.0,0,0,,
calib_00045,0.9379172921180725,0.348431259393692,7,3,Holywel,WAO
calib_00046,0.32771003246307373,0.5713630318641663,1,2,V,TA
calib_00047,0.24070942401885986,0.7036464810371399,2,4,ou,myo+
calib_00048,0.5306217670440674,0.4825643301010132,2,2,Au,np
calib_00049,0.17793045938014984,0.44248223304748535,1,1,8,R
calib_00050,0.7474632859230042,0.538425624370575,6,6,MeOvay,AONOPW
calib_00051,0.0,0.0,0,0,,
calib_00052,0.0,0.9747159481048584,0,25,,http:cheyou360.taobao.com
calib_00053,0.9080953598022461,0.0,9,0,Décor & A,
calib_00054,0.5417320132255554,0.3030718266963959,8,6,VARINETE,BLGONN
calib_00055,0.6501164436340332,0.32096031308174133,6,6,FALLST,FSTTYR
calib_00056,0.8746838569641113,0.6646554470062256,2,2,OL,10
calib_00057,0.0,0.9683104157447815,0,13,,I.A.Eifenmann
calib_00058,0.994559645652771,0.6752254962921143,5,4,SONAR,UNOS
calib_00059,0.4009733498096466,0.2817705571651459,3,1,NHE,W
calib_00060,0.4463992714881897,0.2459264099597931,5,4,1A122,P0V1
calib_00061,0.9985483288764954,0.5439971685409546,22,2,xiaomeng168.taobao.com,..
calib_00062,0.8716739416122437,0.3998512625694275,4,2,MENT,LN
calib_00063,0.0,0.0,0,0,,
calib_00064,0.5408918261528015,0.0,2,0,36,
calib_00065,0.3812820017337799,0.6407642364501953,1,2,W,RA
calib_00066,0.4737235903739929,0.6359038949012756,2,3,en,yta
calib_00067,0.6753400564193726,0.5707388520240784,2,2,MU,mu
calib_00068,0.29024362564086914,0.736566424369812,5,10,e рon,xhibited o
calib_00069,0.573855459690094,0.5164079666137695,5,5,GA21O,OLRNS
calib_00070,0.646866500377655,0.5003448128700256,2,1,TE,1
calib_00071,0.15569350123405457,0.10347915440797806,1,1,.,6
calib_00072,0.789951741695404,0.5256847143173218,18,16,WOUTSEAPCOADWISORS,S80SIAONCETESTEN
calib_00073,0.6691829562187195,0.458883136510849,3,3,HAD,JWI
calib_00074,0.4688195586204529,0.9580476880073547,1,1,7,E
calib_00075,0.45847368240356445,0.4473673403263092,2,1,La,T
calib_00076,0.6044743061065674,0.40699148178100586,2,3,11,111
calib_00077,0.9445847272872925,0.4696105122566223,2,2,17,t1
calib_00078,0.7016052007675171,0.9955652356147766,4,4,SI8d,PRIS
calib_00079,0.22861425578594208,0.18445107340812683,1,1,6,n
calib_00080,0.6940305829048157,0.32936421036720276,6,2,Curens,1n
calib_00081,0.4521864056587219,0.9447193145751953,2,6,dd,appean
calib_00082,0.7686875462532043,0.7254230976104736,3,3,irg,Ban
calib_00083,0.6403148770332336,0.8732033371925354,10,11,saldeepuos,Sondelapies
calib_00084,0.0,0.0,0,0,,
calib_00085,0.16181625425815582,0.18491941690444946,1,1,.,7
calib_00086,0.4385363459587097,0.3329581618309021,7,2,Jhe D S,--
calib_00087,0.4453659951686859,0.4416764974594116,5,3,SNIIN,NWS
calib_00088,0.3459356725215912,0.9705295562744141,5,6,85641,5/1958
calib_00089,0.5518253445625305,0.8258864283561707,3,3,0L8,810
calib_00090,0.23828046023845673,0.265936017036438,3,3,PEO,abB
calib_00091,0.6210314631462097,0.9476996660232544,1,2,8,18
calib_00092,0.3691960871219635,0.7040333151817322,3,3,009,500
calib_00093,0.7838406562805176,0.9199869632720947,3,2,NO.,ON
calib_00094,0.976395308971405,0.5183822512626648,3,3,ICT,101
calib_00095,0.31467321515083313,0.38750600814819336,1,2,O,ah
calib_00096,0.35800960659980774,0.9688830375671387,3,4,Ла2,2 AV
calib_00097,0.5156562328338623,0.4617631137371063,3,3,233,CO2
calib_00098,0.0,0.0,0,0,,
calib_00099,0.0,0.0,0,0,,
calib_00100,0.3878821134567261,0.44615602493286133,2,2,20,C3
calib_00101,0.22545011341571808,0.37254467606544495,1,1,N,K
calib_00102,0.5764951109886169,0.16218747198581696,4,2,DREA,CU
calib_00103,0.9997358322143555,0.3893839418888092,2,2,20,00
calib_00104,0.45752739906311035,0.16657127439975739,2,1,Co,w
calib_00105,0.8389975428581238,0.5310471057891846,5,4,CWlor,OTMD
calib_00106,0.32438212633132935,0.9952162504196167,2,2,4P,th
calib_00107,0.932965874671936,0.21603141725063324,5,1,TELLA,A
calib_00108,0.5508705973625183,0.7695752382278442,7,14,SOOM-ET,LEE RO-WAMDDS.
calib_00109,0.6348711848258972,0.6321375966072083,1,2,e,al
