image_id,s_x,s_rot,len_x,len_rot,text_x,text_rot
calib_00000,0.6204146146774292,0.358316570520401,4,3,uten,31n
calib_00001,0.6540395021438599,0.38862842321395874,2,2,Pc,ad
calib_00002,0.5571231245994568,0.21994470059871674,3,2,T.T,LT
calib_00003,0.9827932715415955,0.2541140019893646,7,3,SHERBET,SNE
calib_00004,0.42707929015159607,0.43218421936035156,3,4,SAG,gyle
calib_00005,0.8427273631095886,0.7655656337738037,3,4,AAA,ASAN
calib_00006,0.8629818558692932,0.4451501965522766,6,4,Dafing,PUPO
calib_00007,0.18515987694263458,0.9209384322166443,1,2,A,AL
calib_00008,0.7460297346115112,0.844017744064331,5,6,DOCON,"41,200"
calib_00009,0.0,0.0,0,0,,
calib_00010,0.4806576371192932,0.2545623183250427,4,4,Thta,CnUr
calib_00011,0.6671625375747681,0.74994957447052,5,5,tsIst,15151
calib_00012,0.3288102149963379,0.7887736558914185,2,2,7A,F4
calib_00013,0.9729906320571899,0.8167033195495605,2,2,98,BG
calib_00014,0.2560501992702484,0.7637594938278198,1,2,>,47
calib_00015,0.4130166172981262,0.8900295495986938,2,5,ee,etc.:
calib_00016,0.6880552768707275,0.3137666881084442,8,7,Kamkooes,1O0OUex
calib_00017,0.83823561668396,0.4679321050643921,3,3,YAJ,AAA
calib_00018,0.9995783567428589,0.35702621936798096,10,9,Supplement,Suewaddng
calib_00019,0.44762954115867615,0.9677730798721313,7,8,o1-0-01,Tag-a-To
calib_00020,0.9987003207206726,0.9231168627738953,3,3,Guy,Ang
calib_00021,0.692015528678894,0.6435990929603577,4,4,andd,Pgup
calib_00022,0.599812388420105,0.5588258504867554,2,2,AC,OB
calib_00023,0.23124127089977264,0.996903121471405,5,6,CAAIS,GRATIS
calib_00024,0.0,0.0,0,0,,
calib_00025,0.6284947395324707,0.36657753586769104,6,2,Uiverd,mn
calib_00026,0.2284003645181656,0.8717548251152039,4,5,cunn,Compe
calib_00027,0.4445353150367737,0.37059319019317627,4,4,1096,24R0
calib_00028,0.20033027231693268,0.9007492065429688,6,8,Nuoaie,Nicoting
calib_00029,0.5739736557006836,0.3496558666229248,4,4,eaid,2iee
calib_00030,0.735872209072113,0.2476416826248169,3,2,Pun,Fe
calib_00031,0.8438934087753296,0.3838060796260834,9,3,farmiands,pen
calib_00032,0.6184110045433044,0.6448470950126648,6,6,INUDND,ENCINE
calib_00033,0.2954098582267761,0.3060452938079834,1,1,2,2
calib_00034,0.932298481464386,0.2560938000679016,5,5,Sudca,Snuie
calib_00035,0.7493295669555664,0.4504173994064331,1,1,t,m
calib_00036,0.6328978538513184,0.5917914509773254,4,2,Jave,UD
calib_00037,0.564262330532074,0.33088937401771545,2,2,60,49
calib_00038,0.3680124580860138,0.9973127245903015,4,5,V£/j,f/3.4
calib_00039,0.0,0.10624973475933075,0,1,,W
calib_00040,0.834625244140625,0.9955422282218933,5,5,CIVMY,AWARD
calib_00041,0.0,0.36490222811698914,0,6,,phrlno
calib_00042,0.15580792725086212,0.4287128150463104,1,1,1,h
calib_00043,0.4636446535587311,0.5877358913421631,3,5,MpS,ufnet
calib_00044,0.3758523762226105,0.2358919382095337,2,1,RU,D
calib_00045,0.998386800289154,0.24764850735664368,7,1,Holywel,e
calib_00046,0.4385336637496948,0.4910145699977875,1,2,V,MA
calib_00047,0.31524911522865295,0.6741847991943359,4,4,+GR0,myo+
calib_00048,0.4892503619194031,0.382931113243103,2,1,Au,n
calib_00049,0.41778621077537537,0.6001251339912415,1,2,8,IR
calib_00050,0.7189211845397949,0.18505483865737915,6,4,MeQvey,Jonw
calib_00051,0.0,0.0,0,0,,
calib_00052,0.20323418080806732,0.9574266076087952,18,27,rantocaonttoraeecc,http.llcheyou360.taobao.com
calib_00053,0.9725664854049683,0.41333937644958496,9,3,Décor & A,VAA
