image_id,s_x,s_rot,len_x,len_rot
calib_00000,0.27483460307121277,0.14409799873828888,3,1
calib_00001,0.788966953754425,0.11415998637676239,1,1
calib_00002,0.2334498018026352,0.08469124883413315,1,1
calib_00003,0.7173282504081726,0.0,7,0
calib_00004,0.32026952505111694,0.27886179089546204,1,2
calib_00005,0.0,0.6978432536125183,0,3
calib_00006,0.6641820073127747,0.20573769509792328,5,1
calib_00007,0.0,0.0,0,0
calib_00008,0.6146332025527954,0.7714213728904724,4,7
calib_00009,0.0,0.0,0,0
calib_00010,0.24546101689338684,0.2014937549829483,2,3
calib_00011,0.5908076763153076,0.6428931951522827,4,4
calib_00012,0.4872831106185913,0.8108885288238525,2,2
calib_00013,0.9678453803062439,0.7238370180130005,2,2
calib_00014,0.18199144303798676,0.2855277359485626,1,1
calib_00015,0.0,0.9911430478096008,0,4
calib_00016,0.47721514105796814,0.3451218008995056,7,2
calib_00017,0.4915129542350769,0.4828200936317444,4,1
calib_00018,0.9967955350875854,0.259213924407959,10,2
calib_00019,0.5374358892440796,0.8639525175094604,5,8
calib_00020,0.9506215453147888,0.6188486218452454,3,3
calib_00021,0.19461090862751007,0.4581323266029358,1,4
calib_00022,0.3479834794998169,0.4525713324546814,2,2
calib_00023,0.2515464127063751,0.9681563973426819,2,6
calib_00024,0.0,0.144534170627594,0,1
calib_00025,0.3797741234302521,0.660969614982605,3,2
calib_00026,0.3575940728187561,0.7094758749008179,1,4
calib_00027,0.3112199902534485,0.33659231662750244,4,3
calib_00028,0.3005017638206482,0.8070430755615234,7,8
calib_00029,0.3984352648258209,0.4852237403392792,3,4
calib_00030,0.4924420118331909,0.19834698736667633,1,1
calib_00031,0.6100849509239197,0.26245325803756714,7,3
calib_00032,0.5573949813842773,0.5703259110450745,4,3
calib_00033,0.3205977976322174,0.15185686945915222,1,1
calib_00034,0.6823945045471191,0.0,6,0
calib_00035,0.0,0.2470920979976654,0,2
calib_00036,0.5414398312568665,0.0,3,0
calib_00037,0.25890442728996277,0.19163444638252258,1,2
calib_00038,0.0,0.9643964767456055,0,5
calib_00039,0.06697799265384674,0.06544848531484604,1,1
calib_00040,0.38351625204086304,0.844880223274231,5,5
calib_00041,0.0,0.5083892941474915,0,3
calib_00042,0.21312634646892548,0.5296443700790405,1,1
calib_00043,0.3099021911621094,0.4475816488265991,2,2
calib_00044,0.0,0.0,0,0
calib_00045,0.851814329624176,0.2473132163286209,7,3
calib_00046,0.5849716663360596,0.3560313880443573,1,2
calib_00047,0.4049222469329834,0.5281103253364563,2,4
calib_00048,0.5702790021896362,0.5116186141967773,2,3
calib_00049,0.7344244122505188,0.6862383484840393,1,1
calib_00050,0.6146079301834106,0.33435875177383423,5,2
calib_00051,0.0,0.0,0,0
calib_00052,0.17138303816318512,0.961719810962677,2,27
calib_00053,0.9344366192817688,0.0,7,0
calib_00054,0.5835109353065491,0.4058084487915039,7,5
calib_00055,0.4895900785923004,0.31608447432518005,6,4
calib_00056,0.9545700550079346,0.7926419377326965,2,2
calib_00057,0.0,0.975907027721405,0,13
calib_00058,0.9921108484268188,0.41957858204841614,5,3
calib_00059,0.34656792879104614,0.37128746509552,4,3
calib_00060,0.6251159310340881,0.31881311535835266,5,2
calib_00061,0.9976674914360046,0.3413313925266266,22,1
calib_00062,0.9979233145713806,0.0,3,0
calib_00063,0.0,0.0,0,0
calib_00064,0.4889908730983734,0.48709002137184143,2,1
calib_00065,0.20414642989635468,0.26583001017570496,1,1
calib_00066,0.3878065347671509,0.777617335319519,2,2
calib_00067,0.42378365993499756,0.5242286324501038,2,2
calib_00068,0.1880442351102829,0.6622933149337769,1,11
calib_00069,0.5125023722648621,0.3876746594905853,5,5
calib_00070,0.7228505611419678,0.2653009295463562,2,2
calib_00071,0.06927324086427689,0.09336526691913605,1,1
calib_00072,0.697155237197876,0.4853208661079407,16,16
calib_00073,0.5641550421714783,0.4686921536922455,3,2
calib_00074,0.5297495126724243,0.6517622470855713,1,2
calib_00075,0.34515467286109924,0.43161270022392273,3,2
calib_00076,0.7881466150283813,0.3719572126865387,2,3
calib_00077,0.7379108667373657,0.2602895498275757,2,2
calib_00078,0.5004335045814514,0.9957497119903564,4,4
calib_00079,0.1908559799194336,0.14373400807380676,1,1
calib_00080,0.7038519382476807,0.4383961856365204,6,4
calib_00081,0.3306286931037903,0.9617534279823303,1,6
calib_00082,0.6992576718330383,0.7797218561172485,3,2
calib_00083,0.38009127974510193,0.7910045981407166,7,11
calib_00084,0.0,0.23902562260627747,0,1
calib_00085,0.1723743975162506,0.21390199661254883,1,1
calib_00086,0.3450627624988556,0.0,2,0
calib_00087,0.4151928722858429,0.4388923645019531,3,2
calib_00088,0.4033912420272827,0.9543564319610596,6,6
calib_00089,0.38162097334861755,0.8406515121459961,3,3
calib_00090,0.2793331742286682,0.30519405007362366,3,3
calib_00091,0.3364071846008301,0.7516305446624756,1,2
calib_00092,0.3842035233974457,0.6457844972610474,3,3
calib_00093,0.6571385264396667,0.5971626043319702,3,2
calib_00094,0.9883594512939453,0.1529887467622757,3,1
calib_00095,0.16461226344108582,0.40267977118492126,1,1
calib_00096,0.38855212926864624,0.9153125286102295,4,4
calib_00097,0.48854294419288635,0.5475618243217468,3,3
calib_00098,0.0,0.0,0,0
calib_00099,0.0,0.34605473279953003,0,1
calib_00100,0.5349318981170654,0.5143752694129944,2,2
calib_00101,0.0,0.34674981236457825,0,1
calib_00102,0.5888908505439758,0.37005752325057983,5,1
calib_00103,0.9995607733726501,0.4517422914505005,2,2
calib_00104,0.3670062720775604,0.0,1,0
calib_00105,0.9343083500862122,0.5096635818481445,5,4
calib_00106,0.2902315855026245,0.8378103375434875,2,3
calib_00107,0.982271671295166,0.23327761888504028,5,2
calib_00108,0.536328911781311,0.706830620765686,5,14
calib_00109,0.8217054605484009,0.4946802854537964,1,1
calib_00110,0.7977755665779114,0.86605304479599,1,1
calib_00111,0.7360106706619263,0.30583781003952026,2,2
calib_00112,0.2808583080768585,0.5953530073165894,2,5
calib_00113,0.6955705285072327,0.0,2,0
calib_00114,0.9798522591590881,0.33157646656036377,7,2
calib_00115,0.9663482904434204,0.0,5,0
calib_00116,0.31933194398880005,0.38048818707466125,2,1
calib_00117,0.16558721661567688,0.0,1,0
calib_00118,0.3556472063064575,0.5778602957725525,1,1
calib_00119,0.27956622838974,0.6973534822463989,7,8
calib_00120,0.17851042747497559,0.23951618373394012,1,1
calib_00121,0.4937314987182617,0.49868834018707275,3,1
calib_00122,0.177360400557518,0.0,1,0
calib_00123,0.7406079769134521,0.31797587871551514,2,1
calib_00124,0.4792788028717041,0.8068342208862305,3,5
calib_00125,0.24677316844463348,0.5450393557548523,3,4
calib_00126,0.4069543182849884,0.2887779474258423,2,2
calib_00127,0.06945982575416565,0.10579755902290344,1,1
calib_00128,0.0,0.0,0,0
calib_00129,0.19316671788692474,0.07972248643636703,2,1
calib_00130,0.0,0.0,0,0
calib_00131,0.40160009264945984,0.47680044174194336,3,3
calib_00132,0.28055453300476074,0.807364284992218,6,8
calib_00133,0.22144117951393127,0.0,1,0
calib_00134,0.9742231965065002,0.0,7,0
calib_00135,0.33306583762168884,0.23068520426750183,2,2
calib_00136,0.0,0.128762885928154,0,1
calib_00137,0.0,0.12932997941970825,0,1
calib_00138,0.0,0.5727184414863586,0,1
calib_00139,0.7196594476699829,0.5405650734901428,5,3
calib_00140,0.37221866846084595,0.22506681084632874,2,1
calib_00141,0.0,0.0,0,0
calib_00142,0.4025861322879791,0.7573415637016296,3,7
calib_00143,0.964470386505127,0.0,14,0
calib_00144,0.2312849462032318,0.9667268395423889,2,6
calib_00145,0.2750024199485779,0.22741147875785828,2,2
calib_00146,0.44453394412994385,0.63065505027771,4,4
calib_00147,0.3881162703037262,0.809467077255249,2,2
calib_00148,0.3284817636013031,0.1437615007162094,1,1
calib_00149,0.5490459203720093,0.7605195641517639,2,2
calib_00150,0.232757568359375,0.8605608344078064,1,7
calib_00151,0.5035524964332581,0.509171187877655,1,1
calib_00152,0.5248970985412598,0.7628903985023499,1,1
calib_00153,0.0,0.413224995136261,0,4
calib_00154,0.33728718757629395,0.5982334613800049,1,4
calib_00155,0.1413997858762741,0.08196542412042618,1,1
calib_00156,0.45065706968307495,0.15322227776050568,1,1
calib_00157,0.36443647742271423,0.27334827184677124,6,3
calib_00158,0.4099152386188507,0.4999340772628784,1,1
calib_00159,0.6572331190109253,0.393067330121994,4,3
calib_00160,0.567542552947998,0.48829764127731323,2,2
calib_00161,0.0,0.0,0,0
calib_00162,0.750999927520752,0.9446832537651062,2,4
calib_00163,0.8823494911193848,0.41603145003318787,4,3
calib_00164,0.9599686861038208,0.1624695211648941,17,1
calib_00165,0.1211540699005127,0.10525801032781601,1,1
calib_00166,0.8782291412353516,0.40544581413269043,6,2
calib_00167,0.4501906931400299,0.7120054364204407,5,14
calib_00168,0.1091044470667839,0.0,1,0
calib_00169,0.662279486656189,0.7334737777709961,5,4
calib_00170,0.8578927516937256,0.4550588130950928,4,2
calib_00171,0.4397641718387604,0.20525267720222473,1,1
calib_00172,0.34812960028648376,0.8533992767333984,3,5
calib_00173,0.25092005729675293,0.7390173077583313,2,3
calib_00174,0.68050217628479,0.9336360096931458,2,2
calib_00175,0.8192899227142334,0.5018870234489441,13,3
calib_00176,0.13555200397968292,0.1812593936920166,1,2
calib_00177,0.6411355137825012,0.7552028298377991,3,3
calib_00178,0.7715843319892883,0.0,7,0
calib_00179,0.936093807220459,0.5939138531684875,5,5
calib_00180,0.9809233546257019,0.6745654940605164,3,3
calib_00181,0.9464173316955566,0.36234766244888306,6,2
calib_00182,0.5273246169090271,0.8676052093505859,7,8
calib_00183,0.8259661793708801,0.0,19,0
calib_00184,0.8907740712165833,0.0,6,0
calib_00185,0.14833077788352966,0.46847450733184814,2,6
calib_00186,0.988791823387146,0.2757454514503479,5,5
calib_00187,0.945065438747406,0.4921812415122986,3,2
calib_00188,0.5580743551254272,0.9161293506622314,8,12
calib_00189,0.0,0.08698522299528122,0,1
calib_00190,0.38268178701400757,0.4094236195087433,2,2
calib_00191,0.32866206765174866,0.4831176698207855,2,1
calib_00192,0.0,0.23003120720386505,0,1
calib_00193,0.7479865550994873,0.7440034747123718,3,3
calib_00194,0.2164728045463562,0.18491601943969727,2,1
calib_00195,0.31072798371315,0.0,4,0
calib_00196,0.675230085849762,0.6614007353782654,1,1
calib_00197,0.6359549760818481,0.5032187700271606,1,1
calib_00198,0.43820440769195557,0.35664284229278564,4,4
calib_00199,0.9534317851066589,0.0,4,0
calib_00200,0.0,0.0,0,0
calib_00201,0.3912535011768341,0.0,6,0
calib_00202,0.1553896963596344,0.0,1,0
calib_00203,0.39003095030784607,0.6056649684906006,1,1
calib_00204,0.0,0.6001462936401367,0,6
calib_00205,0.15543314814567566,0.14132757484912872,1,1
calib_00206,0.32482054829597473,0.6151700615882874,1,2
calib_00207,0.3996790945529938,0.45459258556365967,3,4
calib_00208,0.9086794853210449,0.5239834785461426,6,6
calib_00209,0.34766310453414917,0.6246092915534973,4,4
calib_00210,0.22722217440605164,0.0,1,0
calib_00211,0.8135483860969543,0.9852015972137451,5,4
calib_00212,0.7040247917175293,0.1329231560230255,5,1
