method,split,n,device,workers,wall_s,ms_per_pass_single_core
textline_x025,val,3000,cpu,6,8.7,4.142
rec_eslav_v5,val,3000,cpu,6,138.7,111.604
rec_cyrillic_v5,val,3000,cpu,6,161.4,115.949
rec_cyrillic_v3,val,3000,cpu,6,69.2,55.577
doctr_crop,val,3000,mps,1,10.4,1.049
easyocr_ru,val,3000,mps,1,59.0,9.196
textline_x025,test,20000,cpu,6,49.4,5.875
rec_cyrillic_v5,test,20000,cpu,6,1110.5,156.522
rec_eslav_v5,test,20000,cpu,6,1029.3,144.422
easyocr_ru,test,20000,mps,1,399.1,9.61
textline_x025,calib,5044,cpu,4,27.1,6.635
rec_cyrillic_v5,calib,5044,cpu,4,679.9,259.728
rec_eslav_v5,calib,5044,cpu,4,788.2,263.241
rec_en_v5,val,8,cpu,1,9.0,147.387
rec_cyrillic_v5,val,3000,cpu,5,209.3,125.12
rec_en_v5,val,3000,cpu,5,213.9,127.681
rec_cyrillic_v5,calib,5044,cpu,5,292.0,129.607
rec_en_v5,calib,5044,cpu,5,292.2,130.313
rec_cyrillic_v5,test,20000,cpu,5,1535.5,178.5
rec_en_v5,test,20000,cpu,5,1524.4,178.304
textline_x025,val,8,cpu,1,9.2,7.16
textline_x025,val,3000,cpu,4,24.1,7.874
